User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,Age_Group,App_Usage_Count_Group
U1,58,Male,Professional,Android,1.3,6.7,6,8.8,4,42,1,8.7,51-60,Heavy (36-50)
U2,25,Male,Professional,Android,1.2,1.5,5,6.4,1,51,3,5.1,18-28,Heavy (36-50)
U3,19,Male,Student,iOS,5.3,5.7,5,9.0,4,14,5,6.3,18-28,Moderate (11-20)
U4,35,Female,Business Owner,iOS,5.8,2.5,2,5.7,3,36,6,12.8,29-39,Heavy (36-50)
U5,33,Male,Freelancer,Android,7.9,1.3,4,5.7,3,37,5,9.9,29-39,Heavy (36-50)
U6,32,Female,Student,Android,10.9,4.2,9,6.3,7,34,5,3.6,29-39,High (21-35)
U7,26,Male,Student,iOS,5.6,6.1,8,6.7,3,5,3,2.9,18-28,Light (1-10)
U8,24,Male,Freelancer,iOS,8.5,1.9,4,7.8,3,6,6,12.8,18-28,Light (1-10)
U9,52,Female,Business Owner,Android,9.4,2.5,3,6.4,4,17,3,3.1,51-60,Moderate (11-20)
U10,23,Female,Student,iOS,2.8,1.1,1,4.5,2,7,0,2.7,18-28,Light (1-10)
U11,55,Other,Professional,Android,8.3,1.1,8,5.7,9,59,1,7.3,51-60,Heavy (36-50)
U12,45,Other,Business Owner,Android,12.0,6.7,6,4.9,10,12,1,9.2,40-50,Moderate (11-20)
U13,20,Female,Business Owner,iOS,11.1,5.6,3,5.0,4,22,6,4.2,18-28,High (21-35)
U14,19,Female,Freelancer,iOS,9.7,4.1,10,6.0,1,36,6,2.3,18-28,Heavy (36-50)
U15,23,Male,Professional,Android,1.1,2.5,3,5.3,8,29,5,9.2,18-28,High (21-35)
U16,31,Male,Business Owner,Android,11.6,5.5,9,8.9,5,29,0,7.9,29-39,High (21-35)
U17,32,Other,Professional,Android,2.3,7.8,8,4.6,1,40,1,3.4,29-39,Heavy (36-50)
U18,50,Female,Student,Android,10.8,5.7,8,4.5,5,57,0,5.3,40-50,Heavy (36-50)
U19,56,Female,Business Owner,Android,3.3,4.3,2,4.5,1,19,1,5.8,51-60,Moderate (11-20)
U20,19,Other,Professional,Android,3.9,4.2,1,6.0,5,45,2,11.8,18-28,Heavy (36-50)
U21,53,Other,Business Owner,Android,3.3,2.6,7,8.4,1,54,6,7.5,51-60,Heavy (36-50)
